"Equipe","# J","90s","CrtsA","CrtV","2CrdY","Fts","FltsP","Desativado","Crz","Crts","TklW","Pênaltis convertidos","PKcon","OG"
"vs América (MG)","46","38.0","56","3","1","444","508","110","838","565","486","2","3","0"
"vs Ath Paranaense","36","38.0","79","3","1","530","494","84","936","603","490","5","3","1"
"vs Atlético Mineiro","39","37.0","94","9","4","588","533","85","735","662","478","0","3","0"
"vs Botafogo (RJ)","34","38.0","86","2","0","601","547","56","814","717","542","1","2","0"
"vs Chapecoense","35","37.0","84","4","3","596","569","69","800","576","529","7","4","2"
"vs Corinthians","34","38.0","108","4","4","608","530","147","664","663","556","5","3","1"
"vs Coritiba","41","38.0","90","3","2","626","606","109","777","609","495","2","4","0"
"vs Cruzeiro","37","38.0","79","3","2","595","516","89","775","596","495","8","0","0"
"vs Figueirense","39","38.0","101","5","2","711","640","60","944","588","555","4","4","1"
"vs Flamengo","31","38.0","86","6","5","609","457","58","758","586","484","2","6","2"
"vs Fluminense","33","38.0","105","3","1","663","548","49","730","563","559","2","5","2"
"vs Grêmio","37","38.0","98","4","2","568","547","70","772","698","628","2","0","1"
"vs Internacional","40","38.0","86","4","3","577","659","44","664","592","610","5","5","1"
"vs Palmeiras","35","38.0","120","7","4","694","628","65","602","599","525","2","4","0"
"vs Ponte Preta","35","38.0","85","6","3","577","668","67","679","653","560","1","3","0"
"vs Santa Cruz","41","38.0","71","5","2","561","536","70","770","602","564","3","6","0"
"vs Santos","38","38.0","76","2","0","547","455","82","880","666","548","2","6","2"
"vs São Paulo","41","38.0","76","3","1","581","565","44","638","624","601","3","7","0"
"vs Sport Recife","30","38.0","92","6","4","611","587","71","708","683","524","4","5","1"
"vs Vitória","33","38.0","126","5","4","668","654","119","742","571","485","4","8","4"
