"Equipe","# J","90s","CrtsA","CrtV","2CrdY","Fts","FltsP","Desativado","Crz","Crts","TklW","Pênaltis convertidos","PKcon","OG"
"Ath Paranaense","41","38.0","91","7","2","","","","","","","","","0"
"Atlético Mineiro","28","38.0","79","4","3","","","","","","","","","1"
"Avaí","36","38.0","121","3","1","","","","","","","","","2"
"Chapecoense","33","38.0","87","3","1","","","","","","","","","3"
"Corinthians","32","38.0","66","2","2","","","","","","","","","0"
"Coritiba","44","38.0","116","5","2","","","","","","","","","2"
"Cruzeiro","37","38.0","96","5","4","","","","","","","","","0"
"Figueirense","38","38.0","121","5","4","","","","","","","","","1"
"Flamengo","36","38.0","94","6","6","","","","","","","","","4"
"Fluminense","39","38.0","104","10","3","","","","","","","","","1"
"Goiás","35","38.0","98","3","3","","","","","","","","","0"
"Grêmio","34","38.0","97","2","1","","","","","","","","","1"
"Internacional","38","38.0","107","6","3","","","","","","","","","2"
"Joinville","46","38.0","106","8","4","","","","","","","","","1"
"Palmeiras","39","38.0","92","5","1","","","","","","","","","2"
"Ponte Preta","37","38.0","107","5","4","","","","","","","","","0"
"Santos","36","38.0","87","9","4","","","","","","","","","1"
"São Paulo","35","38.0","81","5","4","","","","","","","","","0"
"Sport Recife","28","38.0","73","2","0","","","","","","","","","4"
"Vasco da Gama","41","38.0","121","14","7","","","","","","","","","1"
