"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
1,"Corinthians",38,21,9,8,50,30,20,72,"1,89",38.052,"Jô - 18","Cássio","→ Copa Libertadores via colocação na liga"
2,"Palmeiras",38,19,6,13,61,45,16,63,"1,66",28.52,"Dudu - 9","Fernando Prass","→ Copa Libertadores via colocação na liga"
3,"Santos",38,17,12,9,42,32,10,63,"1,66",12.304,"Ricardo Oliveira, Bruno Henrique - 8","Vanderlei","→ Copa Libertadores via colocação na liga"
4,"Grêmio",38,18,8,12,55,36,19,62,"1,63",19.921,"Fernandinho - 9","Marcelo Grohe","→ Copa Libertadores"
5,"Cruzeiro",38,15,12,11,47,39,8,57,"1,50",17.369,"Thiago Neves - 11","Fábio","→ Copa Libertadores via vitória de campeonato 1"
6,"Flamengo",38,15,11,12,49,38,11,56,"1,47",16.486,"Diego - 10","Diego Alves","→ Copa Libertadores via colocação na liga"
7,"Vasco da Gama",38,15,11,12,40,47,-7,56,"1,47",13.994,"Luís Fabiano, Nenê - 5","Martín Silva","→ Copa Libertadores via colocação na liga"
8,"Chapecoense",38,15,9,14,47,49,-2,54,"1,42",10.188,"Wellington Paulista - 9","Jandrei","→ Copa Libertadores via colocação na liga"
9,"Atlético Mineiro",38,14,12,12,52,49,3,54,"1,42",15.85,"Fred - 12","Victor Leandro Bagy","→ Copa Sudamericana via colocação na liga"
10,"Botafogo (RJ)",38,14,11,13,45,42,3,53,"1,39",11.661,"Roger - 10","Gatito Fernández","→ Copa Sudamericana via colocação na liga"
11,"Ath Paranaense",38,14,9,15,45,43,2,51,"1,34",13.856,"Sidcley - 6","Wéverton","→ Copa Sudamericana via colocação na liga"
12,"Bahia",38,13,11,14,50,48,2,50,"1,32",21.541,"Edigar Junio - 12","Jean","→ Copa Sudamericana via colocação na liga"
13,"São Paulo",38,13,11,14,48,49,-1,50,"1,32",35.88,"Hernanes - 9","Renan Ribeiro","→ Copa Sudamericana via colocação na liga"
14,"Fluminense",38,11,14,13,50,53,-3,47,"1,24",16.253,"Henrique Dourado - 18","Júlio César","→ Copa Sudamericana via colocação na liga"
15,"Sport Recife",38,12,9,17,46,58,-12,45,"1,18",14.457,"André - 16","Magrão",""
16,"Vitória",38,11,10,17,50,58,-8,43,"1,13",11.079,"Santiago Tréllez - 10","Fernando Miguel",""
17,"Coritiba",38,11,10,17,42,51,-9,43,"1,13",13.946,"Henrique Almeida - 7","Wilson","Rebaixado"
18,"Avaí",38,10,13,15,29,48,-19,43,"1,13",7.801,"Junior Dutra - 9","Douglas Friedrich","Rebaixado"
19,"Ponte Preta",38,10,9,19,37,52,-15,39,"1,03",6.632,"Lucca - 13","Aranha","Rebaixado"
20,"Atl Goianiense",38,9,9,20,38,56,-18,36,"0,95",6.434,"Luiz Fernando - 9","Felipe Garcia","Rebaixado"
