"Equipe","# J","90s","CrtsA","CrtV","2CrdY","Fts","FltsP","Desativado","Crz","Crts","TklW","Pênaltis convertidos","PKcon","OG"
"vs América (MG)","34","38.0","72","5","1","500","553","79","893","570","427","7","4","0"
"vs Ath Paranaense","34","38.0","100","2","2","533","551","48","794","464","412","10","2","2"
"vs Atlético Mineiro","32","38.0","97","8","4","592","574","74","705","537","449","7","5","1"
"vs Bahia","36","38.0","100","4","4","579","651","85","690","557","518","3","5","0"
"vs Botafogo (RJ)","34","38.0","91","4","1","621","536","58","792","438","435","3","4","3"
"vs Ceará","41","38.0","91","1","0","541","570","61","893","452","443","2","4","0"
"vs Chapecoense","37","38.0","94","2","1","621","595","55","739","473","502","3","4","1"
"vs Corinthians","38","38.0","85","4","2","605","496","62","748","560","475","3","1","1"
"vs Cruzeiro","35","38.0","104","4","1","564","540","51","685","544","434","4","7","2"
"vs Flamengo","32","38.0","96","10","1","612","539","44","714","559","483","2","3","1"
"vs Fluminense","38","38.0","96","5","1","608","523","47","802","468","450","7","3","3"
"vs Grêmio","39","38.0","109","3","3","625","507","15","589","567","509","0","14","1"
"vs Internacional","32","38.0","102","7","3","572","530","42","688","511","540","2","9","1"
"vs Palmeiras","29","38.0","116","9","4","643","634","37","723","521","377","1","8","0"
"vs Paraná","50","38.0","73","6","1","583","569","89","817","495","490","7","1","1"
"vs Santos","35","38.0","104","4","3","612","537","42","758","508","494","2","4","2"
"vs São Paulo","38","38.0","97","4","1","586","622","59","730","529","451","3","4","1"
"vs Sport Recife","36","38.0","79","2","2","635","532","73","829","535","458","6","4","3"
"vs Vasco da Gama","42","38.0","85","11","2","628","542","67","807","502","401","3","12","0"
"vs Vitória","46","38.0","89","6","2","663","634","78","748","476","463","4","5","4"
