"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
1,"Palmeiras",38,23,11,4,64,26,38,80,"2,11",32.965,"Willian - 10","Wéverton","→ Copa Libertadores via colocação na liga"
2,"Flamengo",38,21,9,8,59,29,30,72,"1,89",51.114,"Lucas Paquetá - 10","Diego Alves","→ Copa Libertadores via colocação na liga"
3,"Internacional",38,19,12,7,51,29,22,69,"1,82",28.632,"Nicolás López - 11","Marcelo Lomba","→ Copa Libertadores via colocação na liga"
4,"Grêmio",38,18,12,8,48,27,21,66,"1,74",22.261,"Everton Soares - 10","Paulo Victor Vidotti","→ Copa Libertadores via colocação na liga"
5,"São Paulo",38,16,15,7,46,34,12,63,"1,66",34.321,"Diego Souza - 12","Sidão","→ Copa Libertadores via colocação na liga"
6,"Atlético Mineiro",38,17,8,13,56,43,13,59,"1,55",18.5,"Ricardo Oliveira - 13","Victor Leandro Bagy","→ Copa Libertadores via colocação na liga"
7,"Ath Paranaense",38,16,9,13,54,37,17,57,"1,50",10.917,"Pablo - 12","Santos",""
8,"Cruzeiro",38,14,11,13,34,34,0,53,"1,39",19.37,"Giorgian De Arrascaeta - 6","Fábio","→ Copa Libertadores via vitória de campeonato 1"
9,"Botafogo (RJ)",38,13,12,13,38,46,-8,51,"1,34",12.734,"Kieza - 7","Saulo","→ Copa Sudamericana via colocação na liga"
10,"Santos",38,13,11,14,46,40,6,50,"1,32",11.793,"Gabriel Barbosa - 18","Vanderlei","→ Copa Sudamericana via colocação na liga"
11,"Bahia",38,12,12,14,39,41,-2,48,"1,26",19.334,"Gilberto - 8","Douglas Friedrich","→ Copa Sudamericana via colocação na liga"
12,"Fluminense",38,12,9,17,32,46,-14,45,"1,18",15.503,"Pedro - 10","Júlio César","→ Copa Sudamericana via colocação na liga"
13,"Corinthians",38,11,11,16,34,35,-1,44,"1,16",31.367,"Ángel Romero - 6","Cássio","→ Copa Sudamericana via colocação na liga"
14,"Chapecoense",38,11,11,16,34,50,-16,44,"1,16",10.013,"Leandro Pereira - 11","Jandrei","→ Copa Sudamericana via colocação na liga"
15,"Ceará",38,10,14,14,32,38,-6,44,"1,16",28.783,"Arthur Cabral - 7","Éverson",""
16,"Vasco da Gama",38,10,13,15,41,48,-7,43,"1,13",14.795,"Yago Pikachu - 10","Martín Silva",""
17,"Sport Recife",38,11,9,18,35,57,-22,42,"1,11",16.215,"Gabriel - 5","Magrão","Rebaixado"
18,"América (MG)",38,10,10,18,30,47,-17,40,"1,05",6.619,"Rafael Moura - 7","João Ricardo Riedi","Rebaixado"
19,"Vitória",38,9,10,19,36,63,-27,37,"0,97",9.217,"Neílton - 7","Ronaldo","Rebaixado"
20,"Paraná",38,4,11,23,18,57,-39,23,"0,61",6.223,"Alex Santana - 4","Richard","Rebaixado"
