"Equipe","# J","90s","CrtsA","CrtV","2CrdY","Fts","FltsP","Desativado","Crz","Crts","TklW","Pênaltis convertidos","PKcon","OG"
"Ath Paranaense","36","38.0","72","1","0","","","","","","","","","2"
"Atlético Mineiro","39","38.0","83","2","0","","","","","","","","","1"
"Bahia","38","38.0","107","7","6","","","","","","","","","1"
"Botafogo (RJ)","40","38.0","95","10","5","","","","","","","","","1"
"Chapecoense","40","38.0","69","2","1","","","","","","","","","1"
"Corinthians","28","38.0","74","3","1","","","","","","","","","2"
"Coritiba","34","38.0","98","2","1","","","","","","","","","1"
"Criciúma","52","38.0","120","5","2","","","","","","","","","0"
"Cruzeiro","37","38.0","70","2","0","","","","","","","","","2"
"Figueirense","41","38.0","102","10","4","","","","","","","","","1"
"Flamengo","36","38.0","69","4","1","","","","","","","","","0"
"Fluminense","32","38.0","82","5","3","","","","","","","","","0"
"Goiás","34","38.0","80","2","0","","","","","","","","","3"
"Grêmio","38","38.0","100","3","2","","","","","","","","","0"
"Internacional","38","38.0","100","6","3","","","","","","","","","0"
"Palmeiras","45","38.0","96","7","2","","","","","","","","","1"
"Santos","39","38.0","78","4","3","","","","","","","","","1"
"São Paulo","28","38.0","93","5","1","","","","","","","","","1"
"Sport Recife","34","38.0","76","2","1","","","","","","","","","3"
"Vitória","42","38.0","83","2","1","","","","","","","","","4"
